user_id,month,day,message_count
1000,12,25,1
1000,12,26,1
1000,12,27,3
1000,12,28,1
1000,12,29,1
1000,12,30,1
1000,12,31,3
1001,8,14,1
1001,8,15,4
1001,8,16,2
1001,8,17,2
1001,8,19,1
1001,8,20,2
1001,8,21,1
1001,8,22,2
1001,8,23,2
1001,8,24,1
1001,8,26,2
1001,8,29,4
1001,8,30,2
1001,8,31,4
1001,9,1,4
1001,9,2,3
1001,9,3,1
1001,9,4,2
1001,9,6,3
1001,9,9,1
1001,9,10,2
1001,9,11,1
1001,9,13,5
1001,9,15,1
1001,9,17,1
1001,9,18,3
1001,9,19,4
1001,9,20,2
1001,9,21,2
1001,9,22,1
1001,9,23,1
1001,9,24,2
1001,9,25,1
1001,9,26,1
1001,9,27,1
1001,9,28,1
1001,9,29,1
1001,10,1,1
1001,10,2,2
1001,10,6,1
1001,10,8,1
1001,10,9,3
1001,10,10,1
1001,10,11,4
1001,10,12,4
1001,10,13,2
1001,10,14,3
1001,10,15,2
1001,10,16,1
1001,10,17,1
1001,10,18,3
1001,10,19,5
1001,10,20,2
1001,10,21,1
1001,10,23,1
1001,10,25,1
1001,10,26,4
1001,10,27,1
1001,10,28,1
1001,10,29,4
1001,10,30,2
1001,10,31,2
1001,11,3,3
1001,11,5,2
1001,11,7,1
1001,11,8,2
1001,11,10,4
1001,11,11,1
1001,11,13,4
1001,11,14,2
1001,11,15,4
1001,11,17,1
1001,11,18,1
1001,11,19,1
1001,11,22,1
1001,11,24,1
1001,11,25,3
1001,11,26,1
1001,11,27,1
1001,11,28,2
1001,11,30,1
1001,12,1,1
1001,12,2,1
1001,12,3,1
1001,12,4,1
1001,12,5,3
1001,12,6,1
1001,12,7,1
1001,12,8,1
1001,12,10,4
1001,12,11,1
1001,12,13,1
1001,12,14,2
1001,12,15,2
1001,12,16,1
1001,12,17,3
1001,12,18,1
1001,12,19,1
1001,12,20,3
1001,12,21,1
1001,12,23,1
1001,12,25,4
1001,12,26,2
1001,12,27,1
1001,12,28,1
1001,12,30,5
1002,10,22,2
1002,10,23,2
1002,10,24,1
1002,10,25,2
1002,10,26,3
1002,10,28,2
1002,10,30,2
1002,10,31,1
1002,11,2,1
1002,11,3,3
1002,11,4,1
1002,11,5,3
1002,11,8,2
1002,11,9,2
1002,11,10,2
1002,11,12,1
1002,11,14,2
1002,11,15,1
1002,11,16,1
1002,11,17,3
1002,11,18,1
1002,11,19,1
1002,11,21,1
1002,11,22,1
1002,11,23,1
1002,11,24,2
1002,11,25,1
1002,11,27,1
1002,11,29,1
1002,12,3,1
1002,12,4,1
1002,12,5,1
1002,12,6,1
1002,12,7,2
1002,12,9,2
1002,12,10,1
1002,12,12,2
1002,12,13,2
1002,12,14,1
1002,12,15,2
1002,12,16,1
1002,12,17,4
1002,12,18,3
1002,12,21,4
1002,12,22,1
1002,12,23,2
1002,12,24,2
1002,12,26,2
1002,12,28,2
1002,12,29,1
1002,12,31,3
1003,12,17,4
1003,12,18,4
1003,12,19,6
1003,12,20,1
1003,12,21,4
1003,12,22,1
1003,12,23,4
1003,12,24,7
1003,12,25,2
1003,12,26,2
1003,12,27,3
1003,12,28,7
1003,12,29,3
1003,12,31,2
1004,5,24,1
1004,5,25,1
1004,5,27,3
1004,5,28,1
1004,5,31,1
1004,6,2,1
1004,6,4,1
1004,6,5,1
1004,6,6,3
1004,6,9,1
1004,6,10,2
1004,6,14,2
1004,6,15,1
1004,6,17,1
1004,6,21,1
1004,6,24,1
1004,6,28,3
1004,7,5,1
1004,7,6,1
1004,7,7,3
1004,7,10,2
1004,7,12,1
1004,7,14,1
1004,7,16,3
1004,7,17,1
1004,7,19,1
1004,7,20,2
1004,7,24,1
1004,7,25,2
1004,7,26,1
1004,7,28,1
1004,7,29,2
1004,7,30,1
1004,7,31,2
1004,8,5,1
1004,8,6,1
1004,8,8,1
1004,8,10,2
1004,8,11,2
1004,8,13,1
1004,8,17,1
1004,8,18,2
1004,8,19,1
1004,8,20,3
1004,8,21,1
1004,8,22,2
1004,8,23,1
1004,8,26,2
1004,8,28,3
1004,8,31,1
1004,9,2,3
1004,9,6,1
1004,9,7,1
1004,9,8,1
1004,9,9,1
1004,9,10,1
1004,9,11,1
1004,9,16,1
1004,9,20,2
1004,9,21,1
1004,9,22,1
1004,9,23,1
1004,9,25,2
1004,9,26,1
1004,9,28,1
1004,9,29,1
1004,9,30,1
1004,10,1,2
1004,10,3,1
1004,10,4,1
1004,10,5,1
1004,10,7,1
1004,10,10,1
1004,10,11,1
1004,10,13,1
1004,10,14,1
1004,10,16,3
1004,10,18,2
1004,10,22,3
1004,10,23,1
1004,10,25,1
1004,10,26,2
1004,10,27,1
1004,10,29,1
1004,11,1,1
1004,11,3,1
1004,11,4,1
1004,11,5,1
1004,11,6,1
1004,11,7,1
1004,11,10,1
1004,11,15,3
1004,11,17,1
1004,11,18,1
1004,11,20,1
