user_id,month,day,duration
1000,12,26,15.0
1000,12,27,50.0
1000,12,28,31.0
1000,12,29,2.0
1000,12,30,5.0
1000,12,31,21.0
1001,8,14,15.0
1001,8,16,25.0
1001,8,17,9.0
1001,8,18,2.0
1001,8,19,11.0
1001,8,20,8.0
1001,8,21,0.0
1001,8,23,10.0
1001,8,24,9.0
1001,8,25,36.0
1001,8,27,11.0
1001,8,28,21.0
1001,8,29,1.0
1001,8,31,24.0
1001,9,1,8.0
1001,9,2,11.0
1001,9,3,31.0
1001,9,4,0.0
1001,9,5,10.0
1001,9,6,11.0
1001,9,7,10.0
1001,9,8,8.0
1001,9,9,11.0
1001,9,10,0.0
1001,9,11,4.0
1001,9,12,10.0
1001,9,13,9.0
1001,9,14,23.0
1001,9,15,17.0
1001,9,16,5.0
1001,9,17,20.0
1001,9,18,9.0
1001,9,20,0.0
1001,9,21,22.0
1001,9,22,0.0
1001,9,23,7.0
1001,9,24,22.0
1001,9,27,2.0
1001,9,28,21.0
1001,9,30,44.0
1001,10,2,0.0
1001,10,3,13.0
1001,10,4,5.0
1001,10,5,10.0
1001,10,7,12.0
1001,10,8,12.0
1001,10,11,5.0
1001,10,12,21.0
1001,10,13,11.0
1001,10,14,31.0
1001,10,15,7.0
1001,10,16,29.0
1001,10,17,16.0
1001,10,19,4.0
1001,10,21,29.0
1001,10,23,16.0
1001,10,24,25.0
1001,10,25,0.0
1001,10,26,16.0
1001,10,27,26.0
1001,10,28,39.0
1001,10,30,28.0
1001,10,31,38.0
1001,11,1,4.0
1001,11,3,13.0
1001,11,4,17.0
1001,11,5,7.0
1001,11,6,6.0
1001,11,7,12.0
1001,11,8,19.0
1001,11,9,1.0
1001,11,10,15.0
1001,11,11,40.0
1001,11,12,8.0
1001,11,13,2.0
1001,11,14,31.0
1001,11,15,58.0
1001,11,16,17.0
1001,11,17,19.0
1001,11,18,0.0
1001,11,19,3.0
1001,11,20,10.0
1001,11,21,15.0
1001,11,22,8.0
1001,11,23,15.0
1001,11,24,12.0
1001,11,25,29.0
1001,11,26,21.0
1001,11,28,24.0
1001,11,29,8.0
1001,11,30,12.0
1001,12,1,34.0
1001,12,2,10.0
1001,12,4,44.0
1001,12,5,11.0
1001,12,7,12.0
1001,12,8,8.0
1001,12,9,7.0
1001,12,10,6.0
1001,12,11,34.0
1001,12,13,7.0
1001,12,16,49.0
1001,12,19,23.0
1001,12,20,18.0
1001,12,21,0.0
1001,12,22,16.0
1001,12,23,2.0
1001,12,24,18.0
1001,12,26,14.0
1001,12,27,23.0
1001,12,28,18.0
1001,12,29,11.0
1001,12,30,19.0
1001,12,31,28.0
1002,10,23,3.0
